date,athlete_id,daily_load,fatigue,stress,soreness,sleep_quality,acwr,atl,monotony,strain,team,stress_norm,hooper_index
2021-06-09,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,600.0,3.0,3.0,3.0,4.0,3.99953336444237,85.71,0.41,246.0,TeamA,1.5,11.5
2021-06-10,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,630.0,4.0,4.0,3.0,4.0,3.9997723651263377,175.71,0.63,774.9,TeamA,2.0,13.0
2021-06-11,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,0.0,4.0,5.0,3.0,3.0,3.9997723651263377,175.71,0.63,774.9,TeamA,2.5,12.5
2021-06-12,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,280.0,4.0,4.0,4.0,3.0,3.9998145744483593,215.71,0.8,1208.0,TeamA,2.0,13.0
2021-06-13,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,0.0,4.0,5.0,5.0,4.0,3.9998145744483593,215.71,0.8,1208.0,TeamA,2.5,15.5
2021-06-14,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,450.0,4.0,4.0,5.0,5.0,4.0,280.0,1.06,2077.6,TeamA,2.0,16.0
2021-06-15,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,240.0,3.0,4.0,4.0,2.0,4.000127275041365,314.29,1.31,2882.0,TeamA,2.0,11.0
2021-06-16,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,360.0,4.0,5.0,4.0,5.0,3.0624521491851686,280.0,1.32,2587.2,TeamA,2.5,15.5
2021-06-17,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,0.0,4.0,3.0,3.0,4.0,2.0780925298042217,190.0,1.08,1436.4,TeamA,1.5,12.5
2021-06-18,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,280.0,3.0,5.0,4.0,4.0,2.2675736961451247,230.0,1.45,2334.5,TeamA,2.5,13.5
2021-06-19,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,400.0,3.0,4.0,3.0,5.0,2.135856883588281,247.14,1.46,2525.8,TeamA,2.0,13.0
2021-06-20,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,180.0,3.0,3.0,4.0,3.0,2.2339937776322256,272.86,1.93,3686.3,TeamA,1.5,11.5
2021-06-21,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,0.0,3.0,4.0,4.0,4.0,1.7076305878500082,208.57,1.41,2058.6,TeamA,2.0,13.0
2021-06-22,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,440.0,4.0,4.0,4.0,3.0,1.7201508777020162,237.14,1.4,2324.0,TeamA,2.0,13.0
2021-06-23,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,240.0,3.0,4.0,4.0,3.0,1.502424366591545,220.0,1.36,2094.4,TeamA,2.0,12.0
2021-06-24,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,240.0,4.0,5.0,4.0,4.0,1.6405806451612903,254.29,1.89,3364.2,TeamA,2.5,14.5
2021-06-25,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,180.0,3.0,4.0,4.0,4.0,1.4867125069689648,240.0,1.76,2956.8,TeamA,2.0,13.0
2021-06-26,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,0.0,4.0,3.0,3.0,3.0,1.1327510376014371,182.86,1.3,1664.0,TeamA,1.5,11.5
2021-06-27,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,180.0,3.0,3.0,3.0,3.0,1.0893601811033005,182.86,1.3,1664.0,TeamA,1.5,10.5
2021-06-28,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,350.0,3.0,4.0,3.0,3.0,1.291084497671324,232.86,1.8,2934.0,TeamA,2.0,11.0
2021-06-29,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,0.0,4.0,4.0,2.0,3.0,0.9425593257928586,170.0,1.42,1689.8,TeamA,2.0,11.0
2021-06-30,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,510.0,3.0,4.0,2.0,3.0,1.0503600745329102,208.57,1.23,1795.8,TeamA,2.0,10.0
2021-07-01,TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,0.0,3.0,3.0,3.0,3.0,0.8777257390340938,174.29,0.95,1159.0,TeamA,1.5,10.5
