user_id,date,rr_count,mean_rr,mean_hr
00000000-0000-0000-0000-000000000001,2025-09-01,259,847.14,70.83
00000000-0000-0000-0000-000000000001,2025-09-02,270,834.16,71.93
00000000-0000-0000-0000-000000000001,2025-09-03,261,827.03,72.55
00000000-0000-0000-0000-000000000001,2025-09-04,258,835.77,71.79
00000000-0000-0000-0000-000000000001,2025-09-05,286,815.97,73.53
00000000-0000-0000-0000-000000000001,2025-09-06,294,848.44,70.72
00000000-0000-0000-0000-000000000001,2025-09-07,294,835.69,71.8
00000000-0000-0000-0000-000000000001,2025-09-08,215,837.37,71.65
00000000-0000-0000-0000-000000000001,2025-09-09,211,839.1,71.51
00000000-0000-0000-0000-000000000001,2025-09-10,210,831.94,72.12
00000000-0000-0000-0000-000000000001,2025-09-11,298,830.78,72.22
00000000-0000-0000-0000-000000000001,2025-09-12,293,828.17,72.45
00000000-0000-0000-0000-000000000001,2025-09-13,243,841.01,71.34
00000000-0000-0000-0000-000000000001,2025-09-14,238,826.87,72.56
00000000-0000-0000-0000-000000000001,2025-09-15,287,843.51,71.13
00000000-0000-0000-0000-000000000001,2025-09-16,261,836.46,71.73
00000000-0000-0000-0000-000000000001,2025-09-17,254,829.17,72.36
00000000-0000-0000-0000-000000000001,2025-09-18,249,839.98,71.43
00000000-0000-0000-0000-000000000001,2025-09-19,200,837.06,71.68
00000000-0000-0000-0000-000000000001,2025-09-20,224,839.59,71.46
00000000-0000-0000-0000-000000000001,2025-09-21,230,855.97,70.1
00000000-0000-0000-0000-000000000001,2025-09-22,267,828.11,72.45
00000000-0000-0000-0000-000000000001,2025-09-23,231,835.57,71.81
00000000-0000-0000-0000-000000000001,2025-09-24,208,830.73,72.23
00000000-0000-0000-0000-000000000001,2025-09-25,205,811.79,73.91
00000000-0000-0000-0000-000000000001,2025-09-26,280,854.38,70.23
00000000-0000-0000-0000-000000000001,2025-09-27,283,820.53,73.12
00000000-0000-0000-0000-000000000001,2025-09-28,218,843.09,71.17
00000000-0000-0000-0000-000000000001,2025-09-29,283,818.13,73.34
00000000-0000-0000-0000-000000000001,2025-09-30,283,832.55,72.07
00000000-0000-0000-0000-000000000001,2025-10-01,215,839.51,71.47
