user_id,date,rpe,session_type
00000000-0000-0000-0000-000000000001,2025-09-01,4.2,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-02,4.1,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-03,5.4,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-04,4.5,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-05,5.3,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-06,7.1,MATCH
00000000-0000-0000-0000-000000000001,2025-09-07,,REST
00000000-0000-0000-0000-000000000001,2025-09-08,6.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-09,6.1,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-10,4.9,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-11,4.3,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-12,7.2,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-13,6.7,MATCH
00000000-0000-0000-0000-000000000001,2025-09-14,,REST
00000000-0000-0000-0000-000000000001,2025-09-15,6.5,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-16,6.3,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-17,5.8,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-18,5.8,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-19,5.8,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-20,7.6,MATCH
00000000-0000-0000-0000-000000000001,2025-09-21,,REST
00000000-0000-0000-0000-000000000001,2025-09-22,9.7,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-23,7.5,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-24,6.8,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-25,10.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-26,10.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-27,10.0,MATCH
00000000-0000-0000-0000-000000000001,2025-09-28,,REST
00000000-0000-0000-0000-000000000001,2025-09-29,6.4,TRAINING
00000000-0000-0000-0000-000000000001,2025-09-30,6.7,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-01,4.8,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-02,5.2,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-03,3.8,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-04,8.0,MATCH
00000000-0000-0000-0000-000000000001,2025-10-05,,REST
00000000-0000-0000-0000-000000000001,2025-10-06,6.5,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-07,5.7,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-08,5.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-09,4.5,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-10,4.9,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-11,8.0,MATCH
00000000-0000-0000-0000-000000000001,2025-10-12,,REST
00000000-0000-0000-0000-000000000001,2025-10-13,5.5,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-14,6.2,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-15,5.4,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-16,5.4,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-17,3.3,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-18,6.5,MATCH
00000000-0000-0000-0000-000000000001,2025-10-19,,REST
00000000-0000-0000-0000-000000000001,2025-10-20,4.1,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-21,7.4,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-22,6.6,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-23,5.2,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-24,5.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-25,5.8,MATCH
00000000-0000-0000-0000-000000000001,2025-10-26,,REST
00000000-0000-0000-0000-000000000001,2025-10-27,8.8,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-28,5.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-29,7.1,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-30,8.3,TRAINING
00000000-0000-0000-0000-000000000001,2025-10-31,7.7,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-01,10.0,MATCH
00000000-0000-0000-0000-000000000001,2025-11-02,,REST
00000000-0000-0000-0000-000000000001,2025-11-03,7.5,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-04,6.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-05,3.7,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-06,4.1,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-07,3.4,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-08,7.3,MATCH
00000000-0000-0000-0000-000000000001,2025-11-09,,REST
00000000-0000-0000-0000-000000000001,2025-11-10,4.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-11,6.8,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-12,9.9,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-13,4.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-14,5.9,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-15,7.1,MATCH
00000000-0000-0000-0000-000000000001,2025-11-16,,REST
00000000-0000-0000-0000-000000000001,2025-11-17,5.3,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-18,5.7,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-19,3.9,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-20,4.8,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-21,8.2,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-22,8.5,MATCH
00000000-0000-0000-0000-000000000001,2025-11-23,,REST
00000000-0000-0000-0000-000000000001,2025-11-24,3.7,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-25,4.4,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-26,4.3,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-27,4.1,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-28,6.1,TRAINING
00000000-0000-0000-0000-000000000001,2025-11-29,7.5,MATCH
00000000-0000-0000-0000-000000000001,2025-11-30,,REST
00000000-0000-0000-0000-000000000001,2025-12-01,6.2,TRAINING
00000000-0000-0000-0000-000000000001,2025-12-02,3.7,TRAINING
00000000-0000-0000-0000-000000000001,2025-12-03,5.8,TRAINING
00000000-0000-0000-0000-000000000001,2025-12-04,5.7,TRAINING
00000000-0000-0000-0000-000000000001,2025-12-05,5.9,TRAINING
00000000-0000-0000-0000-000000000001,2025-12-06,7.7,MATCH
00000000-0000-0000-0000-000000000001,2025-12-07,,REST
00000000-0000-0000-0000-000000000001,2025-12-08,10.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-12-09,10.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-12-10,5.5,TRAINING
00000000-0000-0000-0000-000000000001,2025-12-11,10.0,TRAINING
00000000-0000-0000-0000-000000000001,2025-12-12,7.8,TRAINING
