user_id,date,session_type,duration_min
00000000-0000-0000-0000-000000000001,2025-09-01,TRAINING,80.5
00000000-0000-0000-0000-000000000001,2025-09-02,TRAINING,88.2
00000000-0000-0000-0000-000000000001,2025-09-03,TRAINING,72.2
00000000-0000-0000-0000-000000000001,2025-09-04,TRAINING,93.3
00000000-0000-0000-0000-000000000001,2025-09-05,TRAINING,68.6
00000000-0000-0000-0000-000000000001,2025-09-06,MATCH,92.7
00000000-0000-0000-0000-000000000001,2025-09-07,REST,
00000000-0000-0000-0000-000000000001,2025-09-08,TRAINING,81.2
00000000-0000-0000-0000-000000000001,2025-09-09,TRAINING,107.1
00000000-0000-0000-0000-000000000001,2025-09-10,TRAINING,67.3
00000000-0000-0000-0000-000000000001,2025-09-11,TRAINING,84.2
00000000-0000-0000-0000-000000000001,2025-09-12,TRAINING,73.3
00000000-0000-0000-0000-000000000001,2025-09-13,MATCH,85.9
00000000-0000-0000-0000-000000000001,2025-09-14,REST,
00000000-0000-0000-0000-000000000001,2025-09-15,TRAINING,86.1
00000000-0000-0000-0000-000000000001,2025-09-16,TRAINING,65.0
00000000-0000-0000-0000-000000000001,2025-09-17,TRAINING,76.8
00000000-0000-0000-0000-000000000001,2025-09-18,TRAINING,88.1
00000000-0000-0000-0000-000000000001,2025-09-19,TRAINING,85.2
00000000-0000-0000-0000-000000000001,2025-09-20,MATCH,91.4
00000000-0000-0000-0000-000000000001,2025-09-21,REST,
00000000-0000-0000-0000-000000000001,2025-09-22,TRAINING,53.1
00000000-0000-0000-0000-000000000001,2025-09-23,TRAINING,67.9
00000000-0000-0000-0000-000000000001,2025-09-24,TRAINING,70.9
00000000-0000-0000-0000-000000000001,2025-09-25,TRAINING,62.0
00000000-0000-0000-0000-000000000001,2025-09-26,TRAINING,49.8
00000000-0000-0000-0000-000000000001,2025-09-27,MATCH,90.8
00000000-0000-0000-0000-000000000001,2025-09-28,REST,
00000000-0000-0000-0000-000000000001,2025-09-29,TRAINING,85.7
00000000-0000-0000-0000-000000000001,2025-09-30,TRAINING,69.8
00000000-0000-0000-0000-000000000001,2025-10-01,TRAINING,87.9
00000000-0000-0000-0000-000000000001,2025-10-02,TRAINING,55.9
00000000-0000-0000-0000-000000000001,2025-10-03,TRAINING,61.2
00000000-0000-0000-0000-000000000001,2025-10-04,MATCH,90.7
00000000-0000-0000-0000-000000000001,2025-10-05,REST,
00000000-0000-0000-0000-000000000001,2025-10-06,TRAINING,68.6
00000000-0000-0000-0000-000000000001,2025-10-07,TRAINING,84.4
00000000-0000-0000-0000-000000000001,2025-10-08,TRAINING,81.9
00000000-0000-0000-0000-000000000001,2025-10-09,TRAINING,69.6
00000000-0000-0000-0000-000000000001,2025-10-10,TRAINING,57.1
00000000-0000-0000-0000-000000000001,2025-10-11,MATCH,87.7
00000000-0000-0000-0000-000000000001,2025-10-12,REST,
00000000-0000-0000-0000-000000000001,2025-10-13,TRAINING,82.2
00000000-0000-0000-0000-000000000001,2025-10-14,TRAINING,85.0
00000000-0000-0000-0000-000000000001,2025-10-15,TRAINING,68.7
00000000-0000-0000-0000-000000000001,2025-10-16,TRAINING,49.7
00000000-0000-0000-0000-000000000001,2025-10-17,TRAINING,55.2
00000000-0000-0000-0000-000000000001,2025-10-18,MATCH,92.0
00000000-0000-0000-0000-000000000001,2025-10-19,REST,
00000000-0000-0000-0000-000000000001,2025-10-20,TRAINING,69.3
00000000-0000-0000-0000-000000000001,2025-10-21,TRAINING,69.7
00000000-0000-0000-0000-000000000001,2025-10-22,TRAINING,61.0
00000000-0000-0000-0000-000000000001,2025-10-23,TRAINING,60.7
00000000-0000-0000-0000-000000000001,2025-10-24,TRAINING,87.6
00000000-0000-0000-0000-000000000001,2025-10-25,MATCH,92.2
00000000-0000-0000-0000-000000000001,2025-10-26,REST,
00000000-0000-0000-0000-000000000001,2025-10-27,TRAINING,66.1
00000000-0000-0000-0000-000000000001,2025-10-28,TRAINING,76.1
00000000-0000-0000-0000-000000000001,2025-10-29,TRAINING,78.5
00000000-0000-0000-0000-000000000001,2025-10-30,TRAINING,99.0
00000000-0000-0000-0000-000000000001,2025-10-31,TRAINING,59.6
00000000-0000-0000-0000-000000000001,2025-11-01,MATCH,91.1
00000000-0000-0000-0000-000000000001,2025-11-02,REST,
00000000-0000-0000-0000-000000000001,2025-11-03,TRAINING,87.5
00000000-0000-0000-0000-000000000001,2025-11-04,TRAINING,96.9
00000000-0000-0000-0000-000000000001,2025-11-05,TRAINING,65.4
00000000-0000-0000-0000-000000000001,2025-11-06,TRAINING,69.2
00000000-0000-0000-0000-000000000001,2025-11-07,TRAINING,84.5
00000000-0000-0000-0000-000000000001,2025-11-08,MATCH,82.6
00000000-0000-0000-0000-000000000001,2025-11-09,REST,
00000000-0000-0000-0000-000000000001,2025-11-10,TRAINING,79.7
00000000-0000-0000-0000-000000000001,2025-11-11,TRAINING,105.0
00000000-0000-0000-0000-000000000001,2025-11-12,TRAINING,81.2
00000000-0000-0000-0000-000000000001,2025-11-13,TRAINING,43.0
00000000-0000-0000-0000-000000000001,2025-11-14,TRAINING,62.8
00000000-0000-0000-0000-000000000001,2025-11-15,MATCH,86.9
00000000-0000-0000-0000-000000000001,2025-11-16,REST,
00000000-0000-0000-0000-000000000001,2025-11-17,TRAINING,91.0
00000000-0000-0000-0000-000000000001,2025-11-18,TRAINING,72.6
00000000-0000-0000-0000-000000000001,2025-11-19,TRAINING,49.9
00000000-0000-0000-0000-000000000001,2025-11-20,TRAINING,74.2
00000000-0000-0000-0000-000000000001,2025-11-21,TRAINING,77.0
00000000-0000-0000-0000-000000000001,2025-11-22,MATCH,87.5
00000000-0000-0000-0000-000000000001,2025-11-23,REST,
00000000-0000-0000-0000-000000000001,2025-11-24,TRAINING,60.5
