athlete_id,date,rpe,duration_min,srpe,fatigue,stress,doms,sleep
00000000-0000-0000-0000-000000000001,2025-09-01,4.2,80.5,339.1,2.0,1.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-02,4.1,88.2,358.1,4.0,1.0,3.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-03,5.4,72.2,391.8,1.0,3.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-04,4.5,93.3,418.0,1.0,1.0,,1.0
00000000-0000-0000-0000-000000000001,2025-09-05,5.3,68.6,361.3,3.0,1.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-06,7.1,92.7,662.3,2.0,4.0,2.0,5.0
00000000-0000-0000-0000-000000000001,2025-09-07,,,0.0,2.0,3.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-08,6.0,81.2,491.1,,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-09,6.1,107.1,658.4,2.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-10,4.9,67.3,329.2,,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-11,4.3,84.2,360.5,2.0,2.0,2.0,
00000000-0000-0000-0000-000000000001,2025-09-12,7.2,73.3,527.2,2.0,1.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-13,6.7,85.9,571.9,3.0,3.0,1.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-14,,,0.0,2.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-15,6.5,86.1,557.9,2.0,3.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-16,6.3,65.0,410.6,2.0,2.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-17,5.8,76.8,448.9,4.0,3.0,1.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-18,5.8,88.1,513.3,1.0,3.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-19,5.8,85.2,497.1,3.0,4.0,3.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-20,7.6,91.4,692.0,2.0,2.0,,3.0
00000000-0000-0000-0000-000000000001,2025-09-21,,,0.0,3.0,3.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-22,9.7,53.1,513.9,,2.0,1.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-23,7.5,67.9,511.7,3.0,2.0,3.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-24,6.8,70.9,482.8,1.0,2.0,2.0,
00000000-0000-0000-0000-000000000001,2025-09-25,10.0,62.0,620.1,1.0,2.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-26,10.0,49.8,497.6,1.0,3.0,2.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-27,10.0,90.8,908.1,2.0,2.0,3.0,3.0
00000000-0000-0000-0000-000000000001,2025-09-28,,,0.0,2.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-09-29,6.4,85.7,546.5,2.0,3.0,3.0,1.0
00000000-0000-0000-0000-000000000001,2025-09-30,6.7,69.8,466.8,3.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-01,4.8,87.9,422.3,2.0,,3.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-02,5.2,55.9,291.2,4.0,1.0,2.0,3.0
00000000-0000-0000-0000-000000000001,2025-10-03,3.8,61.2,232.6,2.0,1.0,3.0,1.0
00000000-0000-0000-0000-000000000001,2025-10-04,8.0,90.7,725.4,1.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-05,,,0.0,1.0,2.0,2.0,2.0
00000000-0000-0000-0000-000000000001,2025-10-06,6.5,68.6,448.3,2.0,2.0,3.0,2.0
